r, offset_x, offset_y, offset_z
0.001, -0.0137061, 0.0655353, 0.241399
0.003, 0.00834984, 0.0570602, 0.242683
0.004, 0.0274348, 0.0486513, 0.231503
0.005, 0.037953, 0.0427743, 0.211137
0.002, 0.0285502, 0.0490383, 0.24089
0.004, 0.0474935, 0.0406617, 0.229447
0.005, 0.0577651, 0.0348677, 0.208932
0.005, 0.0563533, 0.033355, 0.18536
0.006, 0.0633646, 0.0333412, 0.216404
0.007, 0.0733881, 0.0276309, 0.195743
0.007, 0.0716976, 0.0262279, 0.172182
0.006, 0.0587887, 0.0295433, 0.152629
0.007, 0.0800648, 0.0232558, 0.175448
0.007, 0.0780957, 0.0219625, 0.151902
0.006, 0.0649612, 0.0253805, 0.132518
0.003, 0.0445125, 0.0325076, 0.122979
0.001, 0.0529229, 0.0392517, 0.237493
0.002, 0.0721502, 0.0308111, 0.226584
0.008, 0.0829195, 0.02485, 0.206374
0.008, 0.0820732, 0.0231162, 0.18279
0.002, 0.0883423, 0.023405, 0.21399
0.009, 0.0988669, 0.0175259, 0.193628
0.009, 0.0977414, 0.0159011, 0.170048
0.008, 0.0852959, 0.019007, 0.150163
0.011, 0.106034, 0.0129777, 0.17354
0.01, 0.10463, 0.0114622, 0.149967
0.009, 0.0919545, 0.0146718, 0.130244
0.006, 0.0717249, 0.0216654, 0.120155
0.009, 0.100575, 0.0111663, 0.12854
0.009, 0.0876721, 0.014479, 0.108983
0.006, 0.0673327, 0.0215391, 0.0991646
0.004, 0.0455206, 0.0302765, 0.101963
0.001, 0.10729, 0.0146039, 0.197716
0.002, 0.118309, 0.00855961, 0.177666
0.011, 0.117749, 0.00671415, 0.154082
0.01, 0.105775, 0.00960858, 0.133878
0.003, 0.125962, 0.00384149, 0.157797
0.01, 0.125123, 0.00210477, 0.134212
0.011, 0.112916, 0.00510384, 0.114164
0.009, 0.0929186, 0.0119593, 0.103531
0.012, 0.121581, 0.00160166, 0.112699
0.011, 0.109142, 0.00470487, 0.0928101
0.008, 0.0890284, 0.0116291, 0.0824444
0.006, 0.0671386, 0.0203441, 0.0846412
0.009, 0.0954904, 0.008571, 0.0762478
0.007, 0.0752638, 0.0155628, 0.0661511
0.006, 0.0534105, 0.0242896, 0.0686452
0.004, 0.0363382, 0.0321924, 0.0829987
0.001, 0.134184, -0.00151161, 0.133198
0.003, 0.133911, -0.00346838, 0.109618
0.011, 0.122179, -0.000681818, 0.0892573
0.01, 0.102427, 0.00603102, 0.0780873
0.002, 0.130884, -0.00417837, 0.0880316
0.004, 0.118916, -0.0012867, 0.0678238
0.009, 0.0990419, 0.00549709, 0.0569178
0.007, 0.0770887, 0.0141839, 0.0585112
0.004, 0.105656, 0.00239598, 0.0509056
0.006, 0.0856619, 0.00924964, 0.0402653
0.006, 0.0637382, 0.0179511, 0.0421567
0.004, 0.0463129, 0.0259489, 0.0560252
0.006, 0.0662335, 0.016196, 0.0332012
0.004, 0.0443427, 0.0249107, 0.0353902
0.004, 0.0270901, 0.0328623, 0.0494992
0.001, 0.0195344, 0.0377194, 0.0713913
0.001, -0.0151757, 0.0597211, 0.241908
0.003, 0.0083015, 0.0568689, 0.2427
0.007, 0.0286163, 0.0533256, 0.231094
0.006, 0.0398122, 0.0501301, 0.210493
0.002, 0.0298035, 0.0539969, 0.240456
0.009, 0.0499675, 0.0504497, 0.228591
0.017, 0.060901, 0.0472743, 0.207847
0.01, 0.0593982, 0.0454017, 0.184306
0.015, 0.0668614, 0.0471753, 0.215193
0.023, 0.0775307, 0.0440205, 0.194309
