r, offset_x, offset_y, offset_z
0.009, 0.0499675, -0.0504499, 0.228591
0.017, 0.060901, -0.0472746, 0.207847
0.01, 0.0593982, -0.045402, 0.184306
0.015, 0.0668613, -0.0471756, 0.215193
0.023, 0.0775307, -0.0440209, 0.194309
0.022, 0.0757313, -0.0421868, 0.170786
0.008, 0.0619905, -0.0422111, 0.151521
0.025, 0.0846376, -0.0413479, 0.173865
0.025, 0.0825417, -0.0395526, 0.150363
0.02, 0.0685609, -0.039622, 0.131272
0.008, 0.0467944, -0.0415358, 0.122189
0.001, 0.0557468, -0.0504241, 0.236515
0.003, 0.076213, -0.0468854, 0.225177
0.012, 0.0876763, -0.0436699, 0.204727
0.026, 0.0867755, -0.0417203, 0.181162
0.003, 0.0934485, -0.0436074, 0.212223
0.009, 0.104651, -0.0404115, 0.191626
0.024, 0.103453, -0.0384997, 0.168071
0.027, 0.0902058, -0.0384327, 0.148464
0.016, 0.11228, -0.0376906, 0.171378
0.027, 0.110786, -0.035817, 0.147836
0.03, 0.0972935, -0.0357951, 0.128396
0.022, 0.0757604, -0.0376313, 0.118758
0.033, 0.10647, -0.0344874, 0.1265
0.028, 0.0927352, -0.0345106, 0.107231
0.021, 0.0710852, -0.0363852, 0.0978658
0.009, 0.0478675, -0.0395617, 0.101151
0.003, 0.113617, -0.0396369, 0.195526
0.004, 0.125346, -0.0364018, 0.17523
0.013, 0.12475, -0.0344137, 0.151658
0.029, 0.112005, -0.0342554, 0.131722
0.005, 0.133493, -0.0336349, 0.15519
0.011, 0.1326, -0.0316843, 0.131625
0.024, 0.119605, -0.0315711, 0.111849
0.03, 0.0983198, -0.0333284, 0.101662
0.015, 0.128829, -0.0302782, 0.11019
0.025, 0.115588, -0.03021, 0.0905788
0.029, 0.0941789, -0.0320064, 0.0806616
0.021, 0.0708785, -0.0351407, 0.0833467
0.03, 0.101057, -0.0305958, 0.0743209
0.024, 0.0795274, -0.032431, 0.0646754
0.016, 0.0562659, -0.0355863, 0.0676569
0.009, 0.0380934, -0.0391367, 0.0823912
0.004, 0.142244, -0.0303778, 0.130408
0.005, 0.141953, -0.0283515, 0.106834
0.012, 0.129465, -0.028147, 0.0867352
0.025, 0.108441, -0.0298244, 0.0760057
0.005, 0.138731, -0.0268698, 0.0853153
0.006, 0.125992, -0.0267103, 0.0653744
0.014, 0.104838, -0.0284273, 0.0549117
0.024, 0.0814698, -0.0315173, 0.0569948
0.005, 0.111878, -0.0270124, 0.048752
0.007, 0.0905955, -0.0287687, 0.0385577
0.015, 0.0672591, -0.0318808, 0.040938
0.013, 0.0487109, -0.0354361, 0.0551952
0.006, 0.0699151, -0.0307619, 0.0319269
0.008, 0.0466137, -0.0338956, 0.0346042
0.008, 0.0282494, -0.0374488, 0.0490979
0.003, 0.0202068, -0.0403796, 0.0711585
0.001, -0.0137062, -0.0655352, 0.241399
0.003, 0.00834978, -0.0570602, 0.242683
0.004, 0.0274348, -0.0486514, 0.231503
0.005, 0.037953, -0.0427745, 0.211137
0.002, 0.0285502, -0.0490384, 0.24089
0.004, 0.0474935, -0.0406619, 0.229447
0.005, 0.0577652, -0.0348679, 0.208932
0.005, 0.0563534, -0.0333553, 0.18536
0.006, 0.0633647, -0.0333414, 0.216404
0.007, 0.0733882, -0.0276313, 0.195743
0.007, 0.0716977, -0.0262282, 0.172182
0.006, 0.0587887, -0.0295435, 0.152629
0.007, 0.0800649, -0.0232562, 0.175448
0.007, 0.0780959, -0.0219628, 0.151902
0.006, 0.0649613, -0.0253808, 0.132518
0.003, 0.0445125, -0.0325078, 0.122979
0.001, 0.052923, -0.0392519, 0.237493
0.002, 0.0721503, -0.0308115, 0.226584
0.008, 0.0829196, -0.0248504, 0.206374
0.008, 0.0820733, -0.0231166, 0.18279
0.002, 0.0883424, -0.0234055, 0.21399
0.009, 0.098867, -0.0175263, 0.193628
0.009, 0.0977415, -0.0159015, 0.170048
0.008, 0.085296, -0.0190074, 0.150163
0.011, 0.106034, -0.0129783, 0.17354
0.01, 0.10463, -0.0114627, 0.149967
0.009, 0.0919546, -0.0146722, 0.130244
0.006, 0.0717251, -0.0216657, 0.120155
0.009, 0.100575, -0.0111668, 0.12854
0.009, 0.0876723, -0.0144794, 0.108983
0.006, 0.0673328, -0.0215394, 0.0991646
0.004, 0.0455207, -0.0302766, 0.101963
0.001, 0.10729, -0.0146044, 0.197716
0.002, 0.118309, -0.00856019, 0.177666
0.011, 0.117749, -0.00671472, 0.154082
0.01, 0.105776, -0.00960909, 0.133878
0.003, 0.125962, -0.00384211, 0.157797
0.01, 0.125123, -0.00210539, 0.134212
0.011, 0.112916, -0.00510439, 0.114164
0.009, 0.0929188, -0.0119598, 0.103531
0.012, 0.121582, -0.00160226, 0.112699
0.011, 0.109142, -0.0047054, 0.0928101
0.008, 0.0890286, -0.0116295, 0.0824444
0.006, 0.0671387, -0.0203444, 0.0846412
0.009, 0.0954906, -0.00857146, 0.0762478
0.007, 0.075264, -0.0155632, 0.0661511
0.006, 0.0534106, -0.0242898, 0.0686452
0.004, 0.0363383, -0.0321926, 0.0829987
0.001, 0.134184, 0.00151095, 0.133198
0.003, 0.133911, 0.00346772, 0.109618
0.011, 0.122179, 0.000681218, 0.0892573
0.01, 0.102428, -0.00603152, 0.0780873
0.002, 0.130884, 0.00417772, 0.0880316
0.004, 0.118916, 0.00128611, 0.0678238
0.009, 0.0990421, -0.00549757, 0.0569178
0.007, 0.0770889, -0.0141843, 0.0585112
0.004, 0.105656, -0.00239649, 0.0509056
0.006, 0.0856621, -0.00925004, 0.0402653
0.006, 0.0637384, -0.0179514, 0.0421567
0.004, 0.046313, -0.0259491, 0.0560252
0.006, 0.0662336, -0.0161963, 0.0332012
0.004, 0.0443428, -0.0249109, 0.0353902
0.004, 0.0270902, -0.0328624, 0.0494992
0.001, 0.0195345, -0.0377195, 0.0713913
