r, offset_x, offset_y, offset_z
0.009, 0.0499675, 0.00506593, 0.23091
0.017, 0.060901, 0.00642124, 0.209968
0.01, 0.0593982, 0.00623496, 0.186354
0.015, 0.0668614, 0.00716009, 0.217278
0.023, 0.0775308, 0.00848267, 0.196199
0.022, 0.0757313, 0.0082596, 0.172605
0.008, 0.0619905, 0.0065563, 0.153416
0.025, 0.0846376, 0.00936363, 0.175599
0.025, 0.0825417, 0.00910382, 0.152031
0.02, 0.0685609, 0.00737076, 0.133018
0.008, 0.0467944, 0.00467259, 0.124136
0.001, 0.0557468, 0.00578233, 0.238802
0.003, 0.076213, 0.00831932, 0.227199
0.012, 0.0876763, 0.00974031, 0.206547
0.026, 0.0867755, 0.00962864, 0.182901
0.003, 0.0934486, 0.0104558, 0.214008
0.009, 0.104651, 0.0118445, 0.193212
0.024, 0.103453, 0.011696, 0.169579
0.027, 0.0902058, 0.0100539, 0.150041
0.016, 0.112281, 0.0127902, 0.172803
0.027, 0.110786, 0.0126049, 0.149188
0.03, 0.0972935, 0.0109324, 0.12982
0.022, 0.0757604, 0.00826321, 0.120378
0.033, 0.10647, 0.0120699, 0.127817
0.028, 0.0927352, 0.0103674, 0.108623
0.021, 0.0710852, 0.00768367, 0.0994569
0.009, 0.0478675, 0.00480561, 0.103006
0.003, 0.113617, 0.012956, 0.197029
0.004, 0.125346, 0.0144099, 0.176528
0.013, 0.12475, 0.014336, 0.152873
0.029, 0.112005, 0.0127561, 0.132998
0.005, 0.133493, 0.0154197, 0.156323
0.011, 0.1326, 0.015309, 0.132677
0.024, 0.119605, 0.0136982, 0.112967
0.03, 0.0983198, 0.0110597, 0.102972
0.015, 0.128829, 0.0148416, 0.111202
0.025, 0.115588, 0.0132003, 0.0916594
0.029, 0.0941789, 0.0105464, 0.0819365
0.021, 0.0708785, 0.00765805, 0.0848845
0.03, 0.101057, 0.011399, 0.075497
0.024, 0.0795273, 0.00873016, 0.0660482
0.016, 0.0562659, 0.00584667, 0.0692933
0.009, 0.0380934, 0.00359402, 0.084281
0.004, 0.142244, 0.0165045, 0.131352
0.005, 0.141953, 0.0164685, 0.10769
0.012, 0.129465, 0.0149205, 0.0876506
0.025, 0.108441, 0.0123143, 0.0771082
0.005, 0.138731, 0.0160691, 0.0861248
0.006, 0.125992, 0.01449, 0.0662459
0.014, 0.104838, 0.0118676, 0.0559727
0.024, 0.0814698, 0.00897095, 0.0583171
0.005, 0.111878, 0.0127403, 0.0497131
0.007, 0.0905955, 0.0101022, 0.0397106
0.015, 0.0672591, 0.00720939, 0.0423532
0.013, 0.0487108, 0.00491015, 0.0568659
0.006, 0.0699151, 0.00753863, 0.0332788
0.008, 0.0466137, 0.00465019, 0.036219
0.008, 0.0282494, 0.00237376, 0.0509673
0.003, 0.0202068, 0.0013768, 0.0731994
0.001, -0.0137062, -0.00884562, 0.244985
0.003, 0.00834981, -0.00029097, 0.245525
0.004, 0.0274349, 0.00711136, 0.233654
0.005, 0.037953, 0.0111909, 0.212854
0.002, 0.0285502, 0.00754395, 0.243039
0.004, 0.0474935, 0.0148913, 0.23091
0.005, 0.0577652, 0.0188753, 0.209968
0.005, 0.0563534, 0.0183277, 0.186354
0.006, 0.0633647, 0.0210471, 0.217278
0.007, 0.0733883, 0.0249348, 0.196199
0.007, 0.0716977, 0.0242791, 0.172605
0.006, 0.0587887, 0.0192723, 0.153416
0.007, 0.0800649, 0.0275245, 0.175599
0.007, 0.0780959, 0.0267607, 0.152031
0.006, 0.0649613, 0.0216664, 0.133018
0.003, 0.0445125, 0.0137351, 0.124136
0.001, 0.052923, 0.0169972, 0.238802
0.002, 0.0721503, 0.0244547, 0.227199
0.008, 0.0829196, 0.0286317, 0.206547
0.008, 0.0820733, 0.0283034, 0.182901
0.002, 0.0883424, 0.030735, 0.214008
0.009, 0.098867, 0.0348171, 0.193212
0.009, 0.0977416, 0.0343805, 0.169579
0.008, 0.085296, 0.0295534, 0.150041
0.011, 0.106034, 0.037597, 0.172803
0.01, 0.10463, 0.0370522, 0.149188
0.009, 0.0919546, 0.032136, 0.12982
0.006, 0.0717251, 0.0242898, 0.120378
0.009, 0.100575, 0.0354796, 0.127817
0.009, 0.0876723, 0.0304751, 0.108623
0.006, 0.0673328, 0.0225862, 0.0994569
0.004, 0.0455207, 0.0141261, 0.103006
0.001, 0.10729, 0.0380841, 0.197029
0.002, 0.118309, 0.0423579, 0.176528
0.011, 0.117749, 0.0421408, 0.152873
0.01, 0.105776, 0.0374966, 0.132998
0.003, 0.125962, 0.0453263, 0.156323
0.01, 0.125123, 0.0450009, 0.132677
0.011, 0.112916, 0.040266, 0.112967
0.009, 0.0929188, 0.03251, 0.102972
0.012, 0.121582, 0.0436271, 0.111202
0.011, 0.109142, 0.0388023, 0.0916594
0.008, 0.0890286, 0.0310011, 0.0819365
0.006, 0.0671387, 0.0225109, 0.0848845
0.009, 0.0954906, 0.0335075, 0.075497
0.007, 0.075264, 0.0256624, 0.0660482
0.006, 0.0534106, 0.0171863, 0.0692933
0.004, 0.0363383, 0.0105646, 0.084281
0.001, 0.134184, 0.048515, 0.131352
0.003, 0.133911, 0.0484092, 0.10769
0.011, 0.122179, 0.0438588, 0.0876506
0.01, 0.102428, 0.0361981, 0.0771082
0.002, 0.130884, 0.0472352, 0.0861248
0.004, 0.118916, 0.0425933, 0.0662459
0.009, 0.0990421, 0.0348849, 0.0559727
0.007, 0.0770888, 0.0263702, 0.0583171
0.004, 0.105656, 0.0374502, 0.0497131
0.006, 0.0856621, 0.0296954, 0.0397106
0.006, 0.0637383, 0.021192, 0.0423532
0.004, 0.046313, 0.0144334, 0.0568659
0.006, 0.0662336, 0.0221598, 0.0332788
0.004, 0.0443428, 0.0136693, 0.036219
0.004, 0.0270902, 0.00697768, 0.0509673
0.001, 0.0195345, 0.00404712, 0.0731994
