a, b, c, offset_x, offset_y, offset_z
0.025, 0.025, 0.025, 0.0883449, 0.0321607, 0.105045
0.025, 0.025, 0.025, 0.0636341, 0.0352998, 0.0961382
0.025, 0.025, 0.025, 0.0385501, 0.0398929, 0.103175
0.025, 0.025, 0.025, 0.106925, 0.0375922, 0.200802
0.025, 0.025, 0.025, 0.122869, 0.0332565, 0.180143
0.025, 0.025, 0.025, 0.123948, 0.0307831, 0.153827
0.033, 0.026, 0.025, 0.109766, 0.0310783, 0.131498
0.025, 0.025, 0.025, 0.132665, 0.0297853, 0.158222
0.025, 0.025, 0.025, 0.133413, 0.0273629, 0.13189
0.025, 0.025, 0.028, 0.118954, 0.0277177, 0.109739
0.032, 0.025, 0.041, 0.0945874, 0.0307197, 0.0998883
0.025, 0.025, 0.025, 0.128499, 0.0260667, 0.108167
0.025, 0.034, 0.025, 0.113766, 0.0264811, 0.0861999
0.025, 0.025, 0.038, 0.0892811, 0.0295288, 0.0766592
0.025, 0.025, 0.025, 0.0640176, 0.0340932, 0.0830415
0.034, 0.025, 0.027, 0.0960146, 0.027854, 0.0697201
0.025, 0.025, 0.025, 0.0714163, 0.0309471, 0.0604914
0.025, 0.025, 0.025, 0.0462393, 0.035526, 0.0671971
0.025, 0.025, 0.025, 0.0297099, 0.0399128, 0.0873799
0.025, 0.025, 0.025, 0.140354, 0.026057, 0.129541
0.025, 0.025, 0.025, 0.141772, 0.0235316, 0.103247
0.025, 0.025, 0.025, 0.127876, 0.0237657, 0.0807371
0.025, 0.03, 0.025, 0.103759, 0.0266733, 0.0702619
0.025, 0.025, 0.025, 0.137461, 0.02213, 0.0794133
0.025, 0.025, 0.025, 0.123286, 0.0224237, 0.0570793
0.025, 0.025, 0.025, 0.099044, 0.0253781, 0.0469112
0.025, 0.025, 0.025, 0.0736176, 0.0299107, 0.0526352
0.025, 0.025, 0.025, 0.105954, 0.023691, 0.0401512
0.025, 0.025, 0.025, 0.0815903, 0.0266917, 0.0302919
0.025, 0.025, 0.025, 0.0562421, 0.0312404, 0.0363413
0.025, 0.025, 0.025, 0.0391988, 0.03567, 0.0560824
0.025, 0.025, 0.025, 0.0578436, 0.0301448, 0.026722
0.025, 0.025, 0.025, 0.0325779, 0.0347088, 0.0330958
0.025, 0.025, 0.025, 0.0157868, 0.0391176, 0.0530565
0.025, 0.025, 0.025, 0.0136234, 0.0417558, 0.0792895
0.025, 0.025, 0.025, -0.0392692, 0.0483732, 0.234392
0.025, 0.025, 0.025, -0.0142266, 0.0529721, 0.24157
0.025, 0.025, 0.025, 0.0105313, 0.0561306, 0.232802
0.025, 0.025, 0.025, 0.0259319, 0.0566914, 0.211301
0.025, 0.025, 0.025, 0.00970141, 0.0568521, 0.242554
0.025, 0.025, 0.025, 0.0343515, 0.0599661, 0.233471
0.025, 0.025, 0.025, 0.0494835, 0.0604676, 0.211778
0.025, 0.025, 0.025, 0.0495522, 0.0581728, 0.185424
0.025, 0.025, 0.025, 0.054483, 0.061987, 0.220084
0.025, 0.025, 0.025, 0.069344, 0.0624291, 0.198204
0.025, 0.025, 0.025, 0.0690817, 0.0600823, 0.171855
0.025, 0.025, 0.025, 0.0537924, 0.0558067, 0.150695
