r, offset_x, offset_y, offset_z
0.005, 0.0330044, 0.0500063, 0.231063
0.005, 0.0430589, 0.0461182, 0.214243
0.003, 0.0446634, 0.0440002, 0.194442
0.005, 0.0334251, 0.0503122, 0.235716
0.005, 0.0497287, 0.0454765, 0.22523
0.005, 0.0596249, 0.0416176, 0.20831
0.005, 0.0610453, 0.0395423, 0.18849
0.005, 0.053693, 0.0396841, 0.169914
0.005, 0.062056, 0.0413828, 0.212304
0.005, 0.0717929, 0.0375536, 0.195284
0.005, 0.0730292, 0.035521, 0.175448
0.005, 0.0655064, 0.0357099, 0.156941
0.003, 0.0507969, 0.0380807, 0.143631
0.005, 0.0769418, 0.0347964, 0.177914
0.005, 0.0779938, 0.0328068, 0.158063
0.005, 0.0703012, 0.0330427, 0.139626
0.005, 0.0554718, 0.0354547, 0.126458
0.001, 0.036605, 0.0395388, 0.12131
0.001, 0.0192507, 0.0543347, 0.242754
0.001, 0.0386096, 0.0495692, 0.241465
0.005, 0.0552103, 0.044705, 0.231471
0.005, 0.065583, 0.0407586, 0.214858
0.005, 0.0675598, 0.0385549, 0.1951
0.001, 0.0555437, 0.0450324, 0.236129
0.003, 0.0720477, 0.0401771, 0.225971
0.005, 0.0822639, 0.0362593, 0.209255
0.005, 0.084057, 0.0340978, 0.189475
0.005, 0.0770523, 0.0341444, 0.170765
0.005, 0.0846205, 0.0360463, 0.213295
0.005, 0.0946792, 0.0321574, 0.196477
0.005, 0.0962884, 0.0300383, 0.176677
0.005, 0.0891119, 0.030132, 0.158032
0.005, 0.0746495, 0.0324187, 0.14444
0.005, 0.100156, 0.0293313, 0.179219
0.005, 0.101581, 0.0272548, 0.1594
0.005, 0.0942331, 0.0273955, 0.140822
0.005, 0.079648, 0.0297238, 0.127369
0.005, 0.0608741, 0.0337533, 0.121852
0.005, 0.0987694, 0.0263482, 0.141314
0.005, 0.0912511, 0.0265359, 0.122805
0.005, 0.0765448, 0.0289056, 0.109492
0.005, 0.0577242, 0.0329622, 0.104157
0.001, 0.0387229, 0.0378578, 0.107914
0.003, 0.0749901, 0.0394749, 0.226028
0.002, 0.0916883, 0.0346019, 0.216201
0.005, 0.102221, 0.0306265, 0.199697
0.005, 0.104386, 0.0283797, 0.179963
0.005, 0.0977314, 0.028331, 0.161126
0.003, 0.104502, 0.0304356, 0.20378
0.004, 0.114879, 0.0264884, 0.187171
0.005, 0.11686, 0.0242836, 0.167413
0.005, 0.110033, 0.024282, 0.148638
0.005, 0.0958227, 0.0264838, 0.134768
0.005, 0.120681, 0.0235945, 0.17003
0.005, 0.122479, 0.0214318, 0.150251
0.005, 0.115478, 0.0214772, 0.131539
0.005, 0.101143, 0.023721, 0.117806
0.005, 0.082469, 0.0276944, 0.111921
0.005, 0.120006, 0.0204398, 0.13212
0.005, 0.112834, 0.0205321, 0.113474
0.005, 0.0983752, 0.0228178, 0.0998779
0.005, 0.0796509, 0.026819, 0.0941744
0.005, 0.0605751, 0.0316995, 0.0975553
0.005, 0.102626, 0.0216578, 0.0982964
0.005, 0.0880443, 0.023985, 0.0848394
0.005, 0.0692716, 0.0280138, 0.0793174
0.005, 0.0502317, 0.0329019, 0.0828844
0.003, 0.034904, 0.0376278, 0.0947951
0.004, 0.117524, 0.025742, 0.185906
0.004, 0.128215, 0.0217381, 0.169511
0.005, 0.130569, 0.0194484, 0.149804
0.005, 0.124092, 0.0193514, 0.130905
0.005, 0.11014, 0.0214675, 0.116763
0.004, 0.13434, 0.0187773, 0.152495
0.005, 0.13651, 0.0165294, 0.132763
0.005, 0.12986, 0.0164794, 0.113924
0.005, 0.11578, 0.0186379, 0.0999155
0.005, 0.0972128, 0.0225537, 0.0936661
0.005, 0.134378, 0.0154522, 0.114594
0.005, 0.127555, 0.0154493, 0.0958164
0.005, 0.113349, 0.01765, 0.0819432
0.005, 0.0947277, 0.0215943, 0.0758737
0.005, 0.0755844, 0.026458, 0.0788763
0.005, 0.11763, 0.01649, 0.0804465
0.005, 0.103298, 0.0187327, 0.0667096
0.005, 0.0846254, 0.0227053, 0.0608205
0.005, 0.0655145, 0.0275775, 0.0640099
0.005, 0.0499598, 0.0323309, 0.0756113
0.005, 0.087739, 0.021665, 0.0574827
0.005, 0.0690161, 0.0256655, 0.0517744
0.005, 0.0499393, 0.0305458, 0.0551504
0.005, 0.0344959, 0.0352859, 0.066905
0.001, 0.0259136, 0.038895, 0.0845814
0.004, 0.138329, 0.0158884, 0.130431
0.004, 0.14087, 0.013556, 0.110753
0.005, 0.134573, 0.0134107, 0.0917933
0.005, 0.120753, 0.0154831, 0.0775155
0.005, 0.102299, 0.0193398, 0.0709035
0.004, 0.139079, 0.012394, 0.092552
0.003, 0.132607, 0.0122958, 0.0736511
0.005, 0.118658, 0.0144108, 0.0595057
0.005, 0.100148, 0.0182968, 0.0530723
0.005, 0.080944, 0.0231418, 0.0556956
0.003, 0.122969, 0.0132513, 0.0580943
0.003, 0.108892, 0.0154087, 0.0440826
0.005, 0.0903262, 0.0193237, 0.0378285
0.005, 0.0711514, 0.0241781, 0.0406391
0.005, 0.0553755, 0.0289572, 0.051927
0.004, 0.0935031, 0.0182737, 0.0345541
0.002, 0.0748836, 0.0222173, 0.0284798
0.004, 0.0557394, 0.0270807, 0.0314775
0.005, 0.040072, 0.0318473, 0.0429207
0.005, 0.0311557, 0.0355211, 0.0604176
0.001, 0.0570916, 0.0263685, 0.0270524
0.002, 0.0379799, 0.0312405, 0.0302369
0.004, 0.0224222, 0.0359942, 0.0418343
0.002, 0.0136704, 0.0396363, 0.0594206
0.001, 0.0135536, 0.0414053, 0.0793202
0.002, -0.0398689, 0.0559846, 0.233726
0.002, -0.0212164, 0.0566083, 0.240856
0.004, -0.00132787, 0.0564433, 0.23897
0.002, 0.0156399, 0.0555241, 0.228464
0.001, 0.0261406, 0.0540427, 0.211532
0.002, -0.00305656, 0.0568225, 0.243305
0.003, 0.0168131, 0.0566411, 0.241231
0.005, 0.03368, 0.0557078, 0.230565
0.005, 0.0440187, 0.0542178, 0.213534
0.003, 0.0456685, 0.0524825, 0.1937
0.005, 0.0341126, 0.0561141, 0.235208
0.005, 0.050877, 0.0551669, 0.224383
0.005, 0.0610529, 0.0536685, 0.207255
0.005, 0.0625134, 0.0519319, 0.187406
0.005, 0.0549534, 0.0503201, 0.168984
0.005, 0.0635527, 0.0540134, 0.211199
0.005, 0.0735648, 0.0525066, 0.193976
0.005, 0.074836, 0.0507689, 0.174114
0.005, 0.0671006, 0.0491635, 0.155764
0.003, 0.0519754, 0.048026, 0.142761
0.005, 0.0788592, 0.0509775, 0.176499
0.005, 0.079941, 0.0492389, 0.156625
0.005, 0.0720309, 0.0476399, 0.138349
0.005, 0.0567824, 0.046515, 0.12549
0.001, 0.0373824, 0.0460991, 0.120736
0.001, 0.0195376, 0.0567557, 0.242542
0.001, 0.0394437, 0.0566076, 0.24085
0.005, 0.0565135, 0.0557028, 0.230509
0.005, 0.0671794, 0.0542305, 0.21368
0.005, 0.0692121, 0.0524983, 0.193881
0.002, 0.0568563, 0.0561098, 0.23516
0.004, 0.0738268, 0.0551909, 0.224658
0.005, 0.0843317, 0.0537098, 0.207729
0.005, 0.0861755, 0.051976, 0.187911
0.005, 0.0789728, 0.0503519, 0.169347
0.005, 0.0867549, 0.0540589, 0.211719
0.005, 0.0970979, 0.0525691, 0.194691
0.005, 0.0987527, 0.0508339, 0.174857
0.005, 0.0913733, 0.0492158, 0.156362
0.005, 0.0765021, 0.0480531, 0.143072
0.005, 0.102729, 0.0510492, 0.177319
0.005, 0.104195, 0.0493127, 0.15747
0.005, 0.0966392, 0.0477008, 0.139046
0.005, 0.0816419, 0.0465504, 0.125897
0.005, 0.0623374, 0.0461021, 0.120771
0.005, 0.101304, 0.0477355, 0.139443
0.005, 0.093573, 0.04613, 0.121091
0.005, 0.078451, 0.0449921, 0.108084
0.005, 0.0590985, 0.0445597, 0.103142
0.002, 0.0395602, 0.0449232, 0.107296
0.004, 0.0768523, 0.0551905, 0.224653
0.004, 0.0940225, 0.0543002, 0.214478
0.005, 0.104853, 0.052837, 0.197753
0.005, 0.107079, 0.0511066, 0.177975
0.005, 0.100236, 0.0494707, 0.159276
0.005, 0.107198, 0.0531901, 0.20179
0.005, 0.117868, 0.051718, 0.184963
0.005, 0.119906, 0.0499859, 0.165165
0.005, 0.112885, 0.0483557, 0.146532
0.005, 0.0982738, 0.0471682, 0.132959
0.005, 0.123834, 0.0502078, 0.167702
0.005, 0.125683, 0.0484741, 0.147885
0.005, 0.118485, 0.0468498, 0.129319
0.005, 0.103745, 0.0456745, 0.115885
0.005, 0.0845426, 0.0451938, 0.11039
0.005, 0.123141, 0.0468923, 0.129806
0.005, 0.115766, 0.0452741, 0.111309
0.005, 0.100898, 0.0441111, 0.098015
0.005, 0.0816449, 0.0436463, 0.0927022
0.005, 0.0620299, 0.043977, 0.0964812
0.005, 0.105269, 0.0439649, 0.0963448
0.005, 0.0902755, 0.0428143, 0.0831921
0.005, 0.0709723, 0.0423655, 0.0780618
0.005, 0.0513942, 0.0427123, 0.0820261
0.003, 0.0356333, 0.0437824, 0.0942566
0.005, 0.120589, 0.0516026, 0.183644
0.005, 0.131582, 0.0501486, 0.167026
0.005, 0.134002, 0.0484202, 0.14727
0.005, 0.127342, 0.0467786, 0.128506
0.005, 0.112996, 0.0455668, 0.114655
0.005, 0.13788, 0.0486487, 0.149882
0.005, 0.140111, 0.0469184, 0.130104
0.005, 0.133273, 0.0452823, 0.111404
0.005, 0.118795, 0.0440825, 0.0976893
0.005, 0.0997032, 0.0435697, 0.0918274
0.005, 0.137919, 0.0453327, 0.111979
0.005, 0.130903, 0.0437024, 0.0933446
0.005, 0.116295, 0.0425146, 0.0797679
0.005, 0.0971478, 0.0420176, 0.0740869
0.005, 0.0774634, 0.0423153, 0.077489
0.005, 0.120698, 0.0423758, 0.0781818
0.005, 0.105961, 0.0412002, 0.064744
0.005, 0.08676, 0.0407191, 0.0592445
0.005, 0.067109, 0.0410331, 0.0628327
0.005, 0.0511147, 0.0420765, 0.0747587
