a, b, c, offset_x, offset_y, offset_z
0.052, 0.011, 0.01, 0.0883449, -0.0571011, 0.102863
0.028, 0.013, 0.011, 0.0636341, -0.0524631, 0.0946366
0.01, 0.01, 0.01, 0.0385501, -0.0491616, 0.102364
0.01, 0.01, 0.01, 0.106925, -0.0683802, 0.198109
0.01, 0.01, 0.01, 0.122869, -0.0690626, 0.177011
0.012, 0.023, 0.01, 0.123948, -0.0669287, 0.150665
0.037, 0.01, 0.033, 0.109766, -0.0627605, 0.128726
0.01, 0.01, 0.01, 0.132665, -0.0686745, 0.154819
0.01, 0.01, 0.01, 0.133413, -0.0664875, 0.128467
0.026, 0.011, 0.016, 0.118954, -0.0622917, 0.106715
0.055, 0.01, 0.05, 0.0945874, -0.0576248, 0.0975344
0.016, 0.012, 0.01, 0.128499, -0.0636447, 0.10488
0.029, 0.01, 0.015, 0.113766, -0.059422, 0.083318
0.052, 0.01, 0.016, 0.0892811, -0.0547639, 0.0744515
0.032, 0.01, 0.03, 0.0640176, -0.0513771, 0.0815294
0.048, 0.01, 0.012, 0.0960146, -0.0552083, 0.067327
0.038, 0.01, 0.033, 0.0714163, -0.0505596, 0.0587756
0.016, 0.01, 0.032, 0.0462394, -0.0472147, 0.0661745
0.01, 0.01, 0.01, 0.0297099, -0.0463993, 0.0868124
0.01, 0.01, 0.01, 0.140354, -0.0673659, 0.125927
0.01, 0.01, 0.01, 0.141772, -0.0652868, 0.0995935
0.01, 0.01, 0.01, 0.127876, -0.0611476, 0.0774667
0.034, 0.01, 0.012, 0.103759, -0.0564651, 0.0676555
0.01, 0.01, 0.01, 0.137461, -0.0625285, 0.0758789
0.01, 0.01, 0.01, 0.123286, -0.0583611, 0.0539352
0.01, 0.01, 0.01, 0.099044, -0.0536858, 0.0444347
0.041, 0.01, 0.01, 0.0736176, -0.050216, 0.0508587
0.01, 0.01, 0.01, 0.105954, -0.0541735, 0.0374844
0.01, 0.01, 0.01, 0.0815903, -0.0495063, 0.028296
0.01, 0.01, 0.01, 0.0562422, -0.0460772, 0.0350433
0.01, 0.01, 0.01, 0.0391988, -0.0451429, 0.0552537
0.01, 0.01, 0.01, 0.0578437, -0.0454857, 0.0253799
0.01, 0.01, 0.01, 0.0325779, -0.0420979, 0.0324493
0.01, 0.01, 0.01, 0.0157868, -0.0412221, 0.0528724
0.01, 0.01, 0.01, 0.0136234, -0.0431794, 0.079165
0.01, 0.01, 0.01, -0.0392693, -0.0635957, 0.23306
0.01, 0.01, 0.01, -0.0142267, -0.0603133, 0.240928
0.01, 0.01, 0.01, 0.0105313, -0.0556802, 0.232842
0.01, 0.01, 0.01, 0.0259319, -0.0513942, 0.211764
0.01, 0.01, 0.01, 0.00970135, -0.0566629, 0.24257
0.01, 0.01, 0.01, 0.0343514, -0.0520191, 0.234167
0.021, 0.01, 0.01, 0.0494834, -0.0477583, 0.21289
0.01, 0.01, 0.01, 0.0495522, -0.0454419, 0.186538
0.024, 0.01, 0.011, 0.054483, -0.0477043, 0.221334
0.027, 0.016, 0.017, 0.0693439, -0.0434694, 0.199862
0.016, 0.019, 0.015, 0.0690817, -0.0412052, 0.173507
0.01, 0.01, 0.01, 0.0537923, -0.0417413, 0.151925
0.026, 0.013, 0.01, 0.0780049, -0.040135, 0.177447
0.024, 0.02, 0.052, 0.0774117, -0.0379234, 0.151093
0.017, 0.016, 0.015, 0.0618552, -0.0385188, 0.129704
0.01, 0.01, 0.01, 0.037036, -0.0417032, 0.121121
0.01, 0.01, 0.01, 0.0391022, -0.0517665, 0.23989
