0.022 0.00298223   -11.5332    0.44513    3.64532     1.4986    1.10861   0.499617
0.234 -nan -nan -nan -nan -nan -nan  nan
0.236 -nan -nan -nan -nan -nan -nan  nan
0.238 -nan -nan -nan -nan -nan -nan  nan
0.24 -nan -nan -nan -nan -nan -nan  nan
0.242 -nan -nan -nan -nan -nan -nan  nan
0.244 -nan -nan -nan -nan -nan -nan  nan
0.246 -nan -nan -nan -nan -nan -nan  nan
0.248 -nan -nan -nan -nan -nan -nan  nan
0.251 -nan -nan -nan -nan -nan -nan  nan
0.252 -nan -nan -nan -nan -nan -nan  nan
0.254 -nan -nan -nan -nan -nan -nan  nan
0.256 -nan -nan -nan -nan -nan -nan  nan
0.258 -nan -nan -nan -nan -nan -nan  nan
0.26 -nan -nan -nan -nan -nan -nan  nan
0.262 -nan -nan -nan -nan -nan -nan  nan
0.265 -nan -nan -nan -nan -nan -nan  nan
0.266 -nan -nan -nan -nan -nan -nan  nan
0.268 -nan -nan -nan -nan -nan -nan  nan
0.27 -nan -nan -nan -nan -nan -nan  nan
0.272 -nan -nan -nan -nan -nan -nan  nan
0.274 -nan -nan -nan -nan -nan -nan  nan
0.276 -nan -nan -nan -nan -nan -nan  nan
0.278 -nan -nan -nan -nan -nan -nan  nan
0.28 -nan -nan -nan -nan -nan -nan  nan
0.282 -nan -nan -nan -nan -nan -nan  nan
0.284 -nan -nan -nan -nan -nan -nan  nan
0.286 -nan -nan -nan -nan -nan -nan  nan
0.288 -nan -nan -nan -nan -nan -nan  nan
0.29 -nan -nan -nan -nan -nan -nan  nan
0.292 -nan -nan -nan -nan -nan -nan  nan
0.294 -nan -nan -nan -nan -nan -nan  nan
0.296 -nan -nan -nan -nan -nan -nan  nan
0.298 -nan -nan -nan -nan -nan -nan  nan
0.3 -nan -nan -nan -nan -nan -nan  nan
0.302 -nan -nan -nan -nan -nan -nan  nan
0.304 -nan -nan -nan -nan -nan -nan  nan
0.306 -nan -nan -nan -nan -nan -nan  nan
0.308 -nan -nan -nan -nan -nan -nan  nan
0.31 -nan -nan -nan -nan -nan -nan  nan
0.312 -nan -nan -nan -nan -nan -nan  nan
0.314 -nan -nan -nan -nan -nan -nan  nan
0.316 -nan -nan -nan -nan -nan -nan  nan
0.318 -nan -nan -nan -nan -nan -nan  nan
0.32 -nan -nan -nan -nan -nan -nan  nan
0.322 -nan -nan -nan -nan -nan -nan  nan
0.324 -nan -nan -nan -nan -nan -nan  nan
0.326 -nan -nan -nan -nan -nan -nan  nan
0.328 -nan -nan -nan -nan -nan -nan  nan
0.33 -nan -nan -nan -nan -nan -nan  nan
0.332 -nan -nan -nan -nan -nan -nan  nan
0.334 -nan -nan -nan -nan -nan -nan  nan
0.336 -nan -nan -nan -nan -nan -nan  nan
0.338 -nan -nan -nan -nan -nan -nan  nan
0.34 -nan -nan -nan -nan -nan -nan  nan
0.342 -nan -nan -nan -nan -nan -nan  nan
0.344 -nan -nan -nan -nan -nan -nan  nan
0.346 -nan -nan -nan -nan -nan -nan  nan
0.348 -nan -nan -nan -nan -nan -nan  nan
0.35 -nan -nan -nan -nan -nan -nan  nan
0.352 -nan -nan -nan -nan -nan -nan  nan
0.354 -nan -nan -nan -nan -nan -nan  nan
0.356 -nan -nan -nan -nan -nan -nan  nan
0.358 -nan -nan -nan -nan -nan -nan  nan
0.36 -nan -nan -nan -nan -nan -nan  nan
0.362 -nan -nan -nan -nan -nan -nan  nan
0.364 -nan -nan -nan -nan -nan -nan  nan
0.366 -nan -nan -nan -nan -nan -nan  nan
0.368 -nan -nan -nan -nan -nan -nan  nan
0.37 -nan -nan -nan -nan -nan -nan  nan
0.372 -nan -nan -nan -nan -nan -nan  nan
0.374 -nan -nan -nan -nan -nan -nan  nan
0.376 -nan -nan -nan -nan -nan -nan  nan
0.378 -nan -nan -nan -nan -nan -nan  nan
0.38 -nan -nan -nan -nan -nan -nan  nan
0.382 -nan -nan -nan -nan -nan -nan  nan
0.384 -nan -nan -nan -nan -nan -nan  nan
0.386 -nan -nan -nan -nan -nan -nan  nan
0.388 -nan -nan -nan -nan -nan -nan  nan
0.39 -nan -nan -nan -nan -nan -nan  nan
0.392 -nan -nan -nan -nan -nan -nan  nan
0.394 -nan -nan -nan -nan -nan -nan  nan
0.396 -nan -nan -nan -nan -nan -nan  nan
0.398 -nan -nan -nan -nan -nan -nan  nan
0.4 -nan -nan -nan -nan -nan -nan  nan
0.402 -nan -nan -nan -nan -nan -nan  nan
0.404 -nan -nan -nan -nan -nan -nan  nan
0.406 -nan -nan -nan -nan -nan -nan  nan
0.408 -nan -nan -nan -nan -nan -nan  nan
0.41 -nan -nan -nan -nan -nan -nan  nan
0.412 -nan -nan -nan -nan -nan -nan  nan
0.415 -nan -nan -nan -nan -nan -nan  nan
0.416 -nan -nan -nan -nan -nan -nan  nan
0.419 -nan -nan -nan -nan -nan -nan  nan
0.42 -nan -nan -nan -nan -nan -nan  nan
0.422 -nan -nan -nan -nan -nan -nan  nan
0.424 -nan -nan -nan -nan -nan -nan  nan
0.426 -nan -nan -nan -nan -nan -nan  nan
0.428 -nan -nan -nan -nan -nan -nan  nan
0.43 -nan -nan -nan -nan -nan -nan  nan
0.432 -nan -nan -nan -nan -nan -nan  nan
0.434 -nan -nan -nan -nan -nan -nan  nan
0.436 -nan -nan -nan -nan -nan -nan  nan
0.438 -nan -nan -nan -nan -nan -nan  nan
0.44 -nan -nan -nan -nan -nan -nan  nan
0.442 -nan -nan -nan -nan -nan -nan  nan
0.444 -nan -nan -nan -nan -nan -nan  nan
0.446 -nan -nan -nan -nan -nan -nan  nan
0.448 -nan -nan -nan -nan -nan -nan  nan
0.45 -nan -nan -nan -nan -nan -nan  nan
0.452 -nan -nan -nan -nan -nan -nan  nan
0.454 -nan -nan -nan -nan -nan -nan  nan
0.456 -nan -nan -nan -nan -nan -nan  nan
0.458 -nan -nan -nan -nan -nan -nan  nan
0.46 -nan -nan -nan -nan -nan -nan  nan
0.462 -nan -nan -nan -nan -nan -nan  nan
0.464 -nan -nan -nan -nan -nan -nan  nan
0.466 -nan -nan -nan -nan -nan -nan  nan
0.468 -nan -nan -nan -nan -nan -nan  nan
0.47 -nan -nan -nan -nan -nan -nan  nan
0.472 -nan -nan -nan -nan -nan -nan  nan
0.474 -nan -nan -nan -nan -nan -nan  nan
0.476 -nan -nan -nan -nan -nan -nan  nan
0.478 -nan -nan -nan -nan -nan -nan  nan
0.48 -nan -nan -nan -nan -nan -nan  nan
0.482 -nan -nan -nan -nan -nan -nan  nan
0.484 -nan -nan -nan -nan -nan -nan  nan
0.486 -nan -nan -nan -nan -nan -nan  nan
0.488 -nan -nan -nan -nan -nan -nan  nan
0.49 -nan -nan -nan -nan -nan -nan  nan
0.492 -nan -nan -nan -nan -nan -nan  nan
0.494 -nan -nan -nan -nan -nan -nan  nan
0.496 -nan -nan -nan -nan -nan -nan  nan
0.498 -nan -nan -nan -nan -nan -nan  nan
0.5 -nan -nan -nan -nan -nan -nan  nan
0.502 -nan -nan -nan -nan -nan -nan  nan
0.504 -nan -nan -nan -nan -nan -nan  nan
0.506 -nan -nan -nan -nan -nan -nan  nan
0.508 -nan -nan -nan -nan -nan -nan  nan
0.51 -nan -nan -nan -nan -nan -nan  nan
0.512 -nan -nan -nan -nan -nan -nan  nan
0.514 -nan -nan -nan -nan -nan -nan  nan
0.516 -nan -nan -nan -nan -nan -nan  nan
0.518 -nan -nan -nan -nan -nan -nan  nan
0.52 -nan -nan -nan -nan -nan -nan  nan
0.522 -nan -nan -nan -nan -nan -nan  nan
0.524 -nan -nan -nan -nan -nan -nan  nan
0.526 -nan -nan -nan -nan -nan -nan  nan
0.528 -nan -nan -nan -nan -nan -nan  nan
0.53 -nan -nan -nan -nan -nan -nan  nan
0.533 -nan -nan -nan -nan -nan -nan  nan
0.534 -nan -nan -nan -nan -nan -nan  nan
0.536 -nan -nan -nan -nan -nan -nan  nan
0.538 -nan -nan -nan -nan -nan -nan  nan
0.54 -nan -nan -nan -nan -nan -nan  nan
0.542 -nan -nan -nan -nan -nan -nan  nan
0.544 -nan -nan -nan -nan -nan -nan  nan
0.546 -nan -nan -nan -nan -nan -nan  nan
0.548 -nan -nan -nan -nan -nan -nan  nan
0.55 -nan -nan -nan -nan -nan -nan  nan
0.552 -nan -nan -nan -nan -nan -nan  nan
0.554 -nan -nan -nan -nan -nan -nan  nan
0.556 -nan -nan -nan -nan -nan -nan  nan
0.558 -nan -nan -nan -nan -nan -nan  nan
0.56 -nan -nan -nan -nan -nan -nan  nan
0.562 -nan -nan -nan -nan -nan -nan  nan
