a, b, c, offset_x, offset_y, offset_z
0.004, 0.004, 0.019, 0.0361046, -0.0612908, 0.24119
0.004, 0.004, 0.019, 0.0515881, -0.0631718, 0.232194
0.013, 0.013, 0.013, 0.0622612, -0.0637432, 0.217704
0.005, 0.004, 0.005, 0.066503, -0.0650804, 0.224634
0.012, 0.012, 0.012, 0.0769957, -0.0656091, 0.210011
0.021, 0.021, 0.012, 0.0808273, -0.0647321, 0.19244
0.021, 0.021, 0.008, 0.0875567, -0.066284, 0.196924
0.024, 0.024, 0.008, 0.0911686, -0.0653652, 0.179309
0.024, 0.024, 0.011, 0.0874686, -0.0631977, 0.161821
0.004, 0.004, 0.011, 0.0851645, -0.0678233, 0.219229
0.005, 0.005, 0.011, 0.096021, -0.0684384, 0.204878
0.014, 0.014, 0.014, 0.100296, -0.0676464, 0.187405
0.014, 0.004, 0.004, 0.106907, -0.0691932, 0.192065
0.014, 0.011, 0.011, 0.110963, -0.0683592, 0.174542
0.024, 0.024, 0.024, 0.10771, -0.0662601, 0.156957
0.024, 0.024, 0.004, 0.115678, -0.067759, 0.158397
0.026, 0.026, 0.004, 0.112204, -0.065626, 0.140859
0.028, 0.028, 0.004, 0.102008, -0.062598, 0.12633
0.004, 0.004, 0.004, 0.122097, -0.0707324, 0.179741
0.004, 0.004, 0.004, 0.126595, -0.0699837, 0.162322
0.014, 0.014, 0.004, 0.123791, -0.0679545, 0.144652
0.014, 0.014, 0.004, 0.131716, -0.0694642, 0.146298
0.014, 0.014, 0.006, 0.12869, -0.0674004, 0.128669
0.024, 0.024, 0.006, 0.11887, -0.064414, 0.113875
0.024, 0.024, 0.004, 0.126806, -0.0656209, 0.11204
0.024, 0.024, 0.018, 0.1168, -0.0626138, 0.0973757
0.027, 0.027, 0.018, 0.101734, -0.0592081, 0.0881225
0.004, 0.004, 0.018, 0.0364556, -0.0582188, 0.241459
0.005, 0.005, 0.005, 0.0521403, -0.0583384, 0.232617
0.013, 0.013, 0.013, 0.0629522, -0.0576957, 0.218233
0.005, 0.004, 0.013, 0.0672491, -0.0585504, 0.225205
0.012, 0.012, 0.012, 0.0778782, -0.0578855, 0.210687
0.024, 0.024, 0.012, 0.0817596, -0.0565726, 0.193154
0.024, 0.024, 0.004, 0.0885765, -0.057359, 0.197705
0.026, 0.026, 0.026, 0.0922353, -0.0560293, 0.180125
0.028, 0.028, 0.026, 0.0884872, -0.0542827, 0.162601
0.004, 0.004, 0.026, 0.0861532, -0.0591703, 0.219986
0.005, 0.005, 0.026, 0.0971508, -0.0585505, 0.205743
0.014, 0.014, 0.014, 0.101481, -0.0572722, 0.188313
0.014, 0.014, 0.004, 0.108178, -0.0580669, 0.193038
0.014, 0.014, 0.01, 0.112287, -0.0567714, 0.175556
0.024, 0.024, 0.01, 0.108992, -0.0550425, 0.157939
0.024, 0.024, 0.004, 0.117063, -0.055635, 0.159457
0.026, 0.026, 0.004, 0.113544, -0.0538971, 0.141885
0.038, 0.038, 0.038, 0.103216, -0.052029, 0.127255
0.004, 0.004, 0.038, 0.123565, -0.0578782, 0.180865
0.006, 0.006, 0.038, 0.128123, -0.0566177, 0.163491
0.014, 0.014, 0.038, 0.125282, -0.0549076, 0.145794
0.014, 0.014, 0.004, 0.13331, -0.0555157, 0.147519
0.013, 0.013, 0.004, 0.130245, -0.0537961, 0.12986
0.024, 0.024, 0.004, 0.120297, -0.0519268, 0.114968
0.024, 0.024, 0.004, 0.128336, -0.0522309, 0.113211
0.024, 0.024, 0.019, 0.1182, -0.0503621, 0.0984476
0.033, 0.033, 0.033, 0.102938, -0.0486703, 0.0890444
0.004, 0.004, 0.033, 0.0364556, -0.055127, 0.241729
0.005, 0.005, 0.005, 0.0521403, -0.0534739, 0.233042
0.013, 0.013, 0.013, 0.0629522, -0.0516092, 0.218765
0.013, 0.013, 0.004, 0.0672491, -0.0519782, 0.22578
0.012, 0.012, 0.012, 0.0778782, -0.050112, 0.211367
0.022, 0.022, 0.012, 0.0817597, -0.0483604, 0.193872
0.022, 0.022, 0.007, 0.0885765, -0.0483763, 0.198491
0.026, 0.026, 0.026, 0.0922353, -0.0466331, 0.180947
0.026, 0.026, 0.004, 0.0884872, -0.0453101, 0.163386
0.004, 0.004, 0.004, 0.0861532, -0.0504615, 0.220748
0.005, 0.005, 0.004, 0.0971508, -0.0485987, 0.206614
0.014, 0.014, 0.014, 0.101481, -0.0468309, 0.189226
0.014, 0.014, 0.004, 0.108178, -0.0468688, 0.194018
0.014, 0.014, 0.011, 0.112287, -0.0451088, 0.176576
0.024, 0.024, 0.011, 0.108992, -0.0437524, 0.158927
0.024, 0.024, 0.004, 0.117063, -0.0434326, 0.160525
0.026, 0.026, 0.004, 0.113544, -0.0420926, 0.142917
0.029, 0.029, 0.004, 0.103216, -0.0413918, 0.128185
0.004, 0.004, 0.004, 0.123565, -0.044941, 0.181997
0.006, 0.006, 0.004, 0.128123, -0.0431654, 0.164668
0.014, 0.014, 0.004, 0.125282, -0.0417764, 0.146943
0.014, 0.014, 0.004, 0.13331, -0.0414771, 0.148747
0.013, 0.013, 0.004, 0.130245, -0.040104, 0.131057
0.024, 0.024, 0.004, 0.120297, -0.039359, 0.116067
0.024, 0.024, 0.004, 0.128336, -0.0387545, 0.11439
0.024, 0.024, 0.018, 0.1182, -0.0380312, 0.0995264
0.029, 0.029, 0.018, 0.102938, -0.0380644, 0.0899723
