a, b, c, offset_x, offset_y, offset_z
0.04, 0.01, 0.051, 0.094233, -0.0203831, 0.141466
0.028, 0.012, 0.015, 0.079648, -0.0168911, 0.128267
0.01, 0.01, 0.01, 0.07499, -0.0157758, 0.2274
0.01, 0.01, 0.01, 0.0916883, -0.0197738, 0.217187
0.01, 0.01, 0.01, 0.102221, -0.0222956, 0.200398
0.018, 0.021, 0.01, 0.104386, -0.022814, 0.180544
0.01, 0.01, 0.01, 0.104502, -0.0228417, 0.20445
0.01, 0.01, 0.01, 0.114879, -0.0253262, 0.187559
0.013, 0.012, 0.01, 0.11686, -0.0258007, 0.167685
0.027, 0.023, 0.02, 0.110033, -0.024166, 0.148981
0.01, 0.01, 0.01, 0.120681, -0.0267153, 0.170232
0.015, 0.016, 0.01, 0.122479, -0.0271458, 0.15034
0.025, 0.025, 0.027, 0.115478, -0.0254698, 0.131703
0.044, 0.011, 0.01, 0.101143, -0.0220376, 0.118217
0.021, 0.022, 0.017, 0.120006, -0.0265539, 0.132191
0.03, 0.023, 0.011, 0.112834, -0.0248368, 0.113624
0.044, 0.011, 0.011, 0.0983752, -0.0213748, 0.100279
0.03, 0.011, 0.01, 0.0796509, -0.0168918, 0.0949459
0.01, 0.01, 0.01, 0.117524, -0.0259596, 0.186235
0.01, 0.01, 0.01, 0.128215, -0.0285194, 0.169553
0.01, 0.01, 0.01, 0.130569, -0.0290828, 0.149722
0.017, 0.018, 0.019, 0.124092, -0.0275322, 0.130886
0.01, 0.01, 0.01, 0.13434, -0.0299859, 0.152344
0.01, 0.01, 0.01, 0.13651, -0.0305054, 0.132491
0.013, 0.013, 0.012, 0.12986, -0.0289132, 0.113719
0.024, 0.026, 0.014, 0.11578, -0.0255421, 0.099952
0.01, 0.01, 0.01, 0.134378, -0.029995, 0.114297
0.011, 0.011, 0.015, 0.127555, -0.0283613, 0.0955906
0.019, 0.014, 0.01, 0.113349, -0.0249599, 0.0819621
0.036, 0.015, 0.01, 0.0947277, -0.0205015, 0.0762594
0.014, 0.015, 0.011, 0.11763, -0.025985, 0.08037
0.019, 0.018, 0.01, 0.103298, -0.0225536, 0.0668808
0.033, 0.01, 0.01, 0.0846255, -0.0180828, 0.0613603
0.023, 0.01, 0.014, 0.0655145, -0.0135071, 0.0649622
0.01, 0.01, 0.01, -0.039869, 1.29944e-07, 0.236508
0.01, 0.01, 0.01, -0.0212165, 8.04475e-08, 0.243665
0.01, 0.01, 0.01, -0.0013279, 2.76714e-08, 0.241773
