a, b, c, offset_x, offset_y, offset_z
0.004, 0.004, 0.019, 0.0361047, -0.00463561, 0.244406
0.004, 0.004, 0.019, 0.0515881, -0.00729349, 0.235608
0.013, 0.013, 0.013, 0.0622612, -0.00912563, 0.221223
0.005, 0.004, 0.005, 0.066503, -0.00985378, 0.228243
0.012, 0.012, 0.012, 0.0769957, -0.0116549, 0.213722
0.021, 0.021, 0.012, 0.0808274, -0.0123127, 0.196141
0.021, 0.021, 0.009, 0.0875567, -0.0134678, 0.200744
0.024, 0.024, 0.009, 0.0911686, -0.0140879, 0.183115
0.024, 0.024, 0.006, 0.0874686, -0.0134527, 0.165506
0.004, 0.004, 0.006, 0.0851645, -0.0130572, 0.223099
0.005, 0.005, 0.006, 0.0960211, -0.0149208, 0.208856
0.014, 0.014, 0.014, 0.100296, -0.0156547, 0.19138
0.014, 0.004, 0.004, 0.106907, -0.0167895, 0.196157
0.014, 0.011, 0.011, 0.110963, -0.0174858, 0.178628
0.024, 0.024, 0.024, 0.10771, -0.0169274, 0.160927
0.024, 0.024, 0.004, 0.115678, -0.0182951, 0.162492
0.026, 0.026, 0.004, 0.112204, -0.0176988, 0.144835
0.028, 0.028, 0.004, 0.102008, -0.0159486, 0.130097
0.004, 0.004, 0.004, 0.122097, -0.019397, 0.184014
0.004, 0.004, 0.004, 0.126595, -0.0201692, 0.166596
0.014, 0.014, 0.004, 0.123791, -0.0196878, 0.148817
0.006, 0.004, 0.004, 0.131716, -0.0210483, 0.150588
0.013, 0.013, 0.004, 0.12869, -0.0205288, 0.132846
0.024, 0.024, 0.004, 0.11887, -0.0188432, 0.117848
0.024, 0.024, 0.004, 0.126806, -0.0202054, 0.116125
0.024, 0.024, 0.017, 0.1168, -0.0184878, 0.101255
0.027, 0.027, 0.017, 0.101734, -0.0159016, 0.0917398
0.004, 0.004, 0.017, 0.0364557, -0.00155189, 0.244406
0.005, 0.005, 0.005, 0.0521404, -0.00244168, 0.235608
0.013, 0.013, 0.013, 0.0629522, -0.00305504, 0.221223
0.013, 0.013, 0.004, 0.0672491, -0.0032988, 0.228243
0.012, 0.012, 0.012, 0.0778782, -0.00390179, 0.213722
0.024, 0.024, 0.012, 0.0817597, -0.00412199, 0.196141
0.024, 0.024, 0.005, 0.0885765, -0.00450871, 0.200744
0.026, 0.026, 0.026, 0.0922353, -0.00471627, 0.183115
0.028, 0.028, 0.026, 0.0884872, -0.00450364, 0.165506
0.004, 0.004, 0.026, 0.0861532, -0.00437123, 0.223099
0.005, 0.005, 0.026, 0.0971508, -0.00499513, 0.208856
0.014, 0.014, 0.014, 0.101481, -0.00524081, 0.19138
0.014, 0.014, 0.004, 0.108178, -0.00562071, 0.196157
0.014, 0.014, 0.01, 0.112287, -0.00585383, 0.178628
0.024, 0.024, 0.01, 0.108992, -0.00566687, 0.160927
0.024, 0.024, 0.004, 0.117063, -0.00612476, 0.162492
0.026, 0.026, 0.004, 0.113544, -0.00592511, 0.144835
0.038, 0.038, 0.038, 0.103216, -0.00533919, 0.130097
0.004, 0.004, 0.038, 0.123565, -0.00649363, 0.184014
0.006, 0.006, 0.038, 0.128123, -0.00675216, 0.166596
0.014, 0.014, 0.038, 0.125282, -0.00659099, 0.148817
0.014, 0.014, 0.004, 0.13331, -0.00704645, 0.150588
0.013, 0.013, 0.004, 0.130245, -0.00687254, 0.132846
0.024, 0.024, 0.004, 0.120297, -0.00630823, 0.117848
0.024, 0.024, 0.004, 0.128336, -0.00676428, 0.116125
0.024, 0.024, 0.019, 0.1182, -0.00618926, 0.101255
0.033, 0.033, 0.033, 0.102938, -0.00532346, 0.0917398
0.004, 0.004, 0.033, 0.0364557, 0.00155174, 0.244406
0.005, 0.005, 0.005, 0.0521404, 0.00244145, 0.235608
0.013, 0.013, 0.013, 0.0629522, 0.00305475, 0.221223
0.013, 0.013, 0.004, 0.0672491, 0.0032985, 0.228243
0.012, 0.012, 0.012, 0.0778782, 0.00390143, 0.213722
0.022, 0.022, 0.012, 0.0817597, 0.0041216, 0.196141
0.022, 0.022, 0.007, 0.0885765, 0.00450828, 0.200744
0.026, 0.026, 0.026, 0.0922353, 0.00471583, 0.183115
0.026, 0.026, 0.004, 0.0884872, 0.00450322, 0.165506
0.004, 0.004, 0.004, 0.0861532, 0.00437082, 0.223099
0.005, 0.005, 0.004, 0.0971509, 0.00499466, 0.208856
0.014, 0.014, 0.014, 0.101482, 0.00524032, 0.19138
0.014, 0.014, 0.004, 0.108178, 0.00562018, 0.196157
0.014, 0.014, 0.01, 0.112287, 0.00585328, 0.178628
0.024, 0.024, 0.01, 0.108992, 0.00566634, 0.160927
0.024, 0.024, 0.004, 0.117063, 0.00612419, 0.162492
0.026, 0.026, 0.004, 0.113544, 0.00592456, 0.144835
0.029, 0.029, 0.004, 0.103216, 0.00533869, 0.130097
0.004, 0.004, 0.004, 0.123565, 0.00649302, 0.184014
0.006, 0.006, 0.004, 0.128123, 0.00675152, 0.166596
0.014, 0.014, 0.004, 0.125282, 0.00659037, 0.148817
0.014, 0.014, 0.004, 0.13331, 0.00704579, 0.150588
0.013, 0.013, 0.004, 0.130245, 0.00687189, 0.132846
0.024, 0.024, 0.004, 0.120297, 0.00630764, 0.117848
0.024, 0.024, 0.004, 0.128336, 0.00676365, 0.116125
0.024, 0.024, 0.019, 0.1182, 0.00618868, 0.101255
0.029, 0.029, 0.019, 0.102938, 0.00532296, 0.0917398
