r, offset_x, offset_y, offset_z
0.002, 0.129006, 0.0940466, 0.0604716
0.003, 0.111182, 0.0862821, 0.0868824
0.014, 0.0842827, 0.0719771, 0.0990179
0.011, 0.056534, 0.0555068, 0.0931667
0.003, 0.0958446, 0.079417, 0.107643
0.003, 0.0690977, 0.0652449, 0.120262
0.013, 0.0412504, 0.048766, 0.114926
0.007, 0.0208196, 0.0350205, 0.0932669
0.003, 0.0469694, 0.0533977, 0.129392
0.003, 0.0190305, 0.0369145, 0.124573
0.003, -0.00171499, 0.0230251, 0.103308
0.006, -0.00892234, 0.0159775, 0.0721008
0.002, 0.134534, 0.0971995, 0.00197673
0.003, 0.136414, 0.0881015, 0.0334281
0.014, 0.122616, 0.0723363, 0.0586587
0.018, 0.0973611, 0.0547254, 0.0699519
0.003, 0.136851, 0.0801281, 0.0589155
0.004, 0.123464, 0.064493, 0.0844463
0.015, 0.0984409, 0.0468589, 0.0962096
0.018, 0.069435, 0.0326191, 0.0906077
0.001, 0.111602, 0.0514615, 0.104517
0.005, 0.0868172, 0.0338086, 0.116748
0.019, 0.0578013, 0.0194029, 0.111644
0.016, 0.0334288, 0.0126503, 0.0907658
0.006, 0.0660842, 0.0194859, 0.125601
0.005, 0.0370659, 0.00491798, 0.120996
0.013, 0.0124445, -0.00209528, 0.100499
0.011, -0.000249594, 0.000591088, 0.0703805
0.001, 0.132488, 0.100977, 0.00406616
0.002, 0.1393, 0.0827722, 0.0304799
0.015, 0.129341, 0.0599219, 0.0517911
0.018, 0.105655, 0.0394141, 0.0614817
0.001, 0.143727, 0.0674349, 0.0518936
0.005, 0.134228, 0.0446221, 0.0734538
0.02, 0.110849, 0.023952, 0.0835376
0.027, 0.0807414, 0.0117464, 0.0790609
0.006, 0.125412, 0.0259671, 0.0904139
0.011, 0.102346, 0.00514002, 0.100888
0.022, 0.0723065, -0.00737505, 0.09683
0.025, 0.0444795, -0.00775039, 0.0794802
0.007, 0.0828364, -0.0114403, 0.108492
0.012, 0.0528719, -0.0242616, 0.104854
0.018, 0.0248538, -0.0250041, 0.0878262
0.011, 0.00735115, -0.0134407, 0.0626182
0.001, 0.130987, 0.103915, 0.00751994
0.003, 0.141418, 0.0786257, 0.0256067
0.007, 0.134274, 0.0502628, 0.040439
0.007, 0.111739, 0.0275009, 0.0474805
0.002, 0.148771, 0.0575589, 0.0402866
0.008, 0.142124, 0.0291615, 0.0552833
0.02, 0.119951, 0.00612915, 0.0625908
0.009, 0.0890352, -0.00449379, 0.0599743
0.009, 0.135542, 0.00613109, 0.0671011
0.016, 0.113738, -0.0171658, 0.0746729
0.019, 0.0829468, -0.0282099, 0.0723434
0.009, 0.0525858, -0.0236233, 0.0608252
0.014, 0.095125, -0.0355027, 0.0802126
0.016, 0.0644665, -0.046965, 0.0781708
0.01, 0.0339567, -0.0428285, 0.0668776
0.005, 0.0129267, -0.0243582, 0.0497871
0.003, 0.151298, 0.0555861, 0.00479215
0.003, 0.147188, 0.0574346, 0.0372758
0.015, 0.127074, 0.0541217, 0.0629653
0.02, 0.0971075, 0.0466608, 0.0740036
0.001, 0.142664, 0.0585923, 0.0635736
0.003, 0.122942, 0.0554201, 0.0895825
0.014, 0.0931382, 0.0480506, 0.101111
0.016, 0.0623679, 0.0387378, 0.0946338
0.003, 0.105968, 0.0525071, 0.109997
