a, b, c, offset_x, offset_y, offset_z
0.04, 0.01, 0.044, 0.094233, -0.0680066, 0.137269
0.028, 0.012, 0.015, 0.079648, -0.0633774, 0.124425
0.01, 0.01, 0.01, 0.07499, -0.0709064, 0.223278
0.01, 0.01, 0.01, 0.0916883, -0.0739991, 0.212754
0.01, 0.01, 0.01, 0.102221, -0.075048, 0.19581
0.018, 0.018, 0.01, 0.104386, -0.073834, 0.175987
0.01, 0.01, 0.01, 0.104502, -0.0759452, 0.199799
0.01, 0.01, 0.01, 0.114879, -0.0769482, 0.182756
0.013, 0.012, 0.01, 0.11686, -0.0756887, 0.162916
0.027, 0.023, 0.02, 0.110033, -0.07243, 0.144426
0.01, 0.01, 0.01, 0.120681, -0.0768218, 0.165374
0.015, 0.015, 0.01, 0.122478, -0.0755169, 0.145519
0.025, 0.025, 0.027, 0.115478, -0.072223, 0.1271
0.044, 0.011, 0.01, 0.101143, -0.0676284, 0.113965
0.021, 0.023, 0.015, 0.120006, -0.0733455, 0.127492
0.03, 0.023, 0.011, 0.112834, -0.0700166, 0.109144
0.044, 0.011, 0.011, 0.0983752, -0.0654048, 0.0961521
0.03, 0.011, 0.01, 0.0796509, -0.060474, 0.09123
0.01, 0.01, 0.01, 0.117524, -0.0774637, 0.181381
0.01, 0.01, 0.01, 0.128215, -0.0785598, 0.16454
0.01, 0.01, 0.01, 0.130569, -0.0773927, 0.144735
0.017, 0.018, 0.019, 0.124092, -0.0742063, 0.126106
0.01, 0.01, 0.01, 0.13434, -0.0785208, 0.147268
0.01, 0.01, 0.01, 0.13651, -0.0773081, 0.127445
0.013, 0.013, 0.012, 0.12986, -0.0740859, 0.108884
0.024, 0.026, 0.015, 0.11578, -0.0695277, 0.0954632
0.01, 0.01, 0.01, 0.134378, -0.0752139, 0.109365
0.011, 0.011, 0.012, 0.127555, -0.0719561, 0.0908727
0.019, 0.013, 0.01, 0.113349, -0.0673798, 0.0775925
0.036, 0.015, 0.01, 0.0947277, -0.0624414, 0.0723001
0.014, 0.015, 0.012, 0.11763, -0.0682623, 0.0759171
0.019, 0.013, 0.01, 0.103298, -0.0636682, 0.0627783
0.033, 0.011, 0.01, 0.0846255, -0.0587333, 0.0576685
0.023, 0.01, 0.012, 0.0655146, -0.054489, 0.0616555
0.01, 0.01, 0.01, -0.039869, -0.0559844, 0.233726
0.01, 0.01, 0.01, -0.0212165, -0.0566082, 0.240856
0.01, 0.01, 0.01, -0.00132793, -0.0564433, 0.23897
0.01, 0.01, 0.01, 0.0156399, -0.0555241, 0.228464
0.01, 0.01, 0.01, -0.00305662, -0.0568225, 0.243305
0.01, 0.01, 0.01, 0.0168131, -0.0566411, 0.241231
0.01, 0.01, 0.01, 0.0336799, -0.0557079, 0.230565
0.01, 0.01, 0.01, 0.0440187, -0.054218, 0.213534
0.01, 0.01, 0.01, 0.0341126, -0.0561142, 0.235208
0.022, 0.014, 0.01, 0.050877, -0.0551671, 0.224383
0.019, 0.019, 0.011, 0.0610528, -0.0536687, 0.207255
0.01, 0.01, 0.01, 0.0625134, -0.0519322, 0.187406
0.025, 0.019, 0.01, 0.0635527, -0.0540137, 0.211199
0.025, 0.023, 0.01, 0.0735648, -0.0525069, 0.193976
0.016, 0.025, 0.012, 0.074836, -0.0507693, 0.174114
0.01, 0.01, 0.01, 0.0671006, -0.0491638, 0.155764
0.01, 0.01, 0.01, 0.0195375, -0.0567558, 0.242542
0.01, 0.01, 0.01, 0.0394436, -0.0566078, 0.24085
0.01, 0.01, 0.01, 0.0565135, -0.0557031, 0.230509
0.024, 0.021, 0.011, 0.0671793, -0.0542308, 0.21368
0.01, 0.01, 0.01, 0.0568563, -0.05611, 0.23516
0.01, 0.01, 0.01, 0.0738267, -0.0551913, 0.224658
0.014, 0.029, 0.01, 0.0843317, -0.0537102, 0.207729
0.03, 0.028, 0.019, 0.0861755, -0.0519764, 0.187911
0.01, 0.01, 0.01, 0.0867549, -0.0540593, 0.211719
0.015, 0.027, 0.01, 0.0970979, -0.0525696, 0.194691
0.029, 0.033, 0.013, 0.0987526, -0.0508344, 0.174857
0.033, 0.029, 0.011, 0.0913732, -0.0492163, 0.156362
0.023, 0.035, 0.01, 0.102729, -0.0510497, 0.177319
