# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 66775
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 66775
DATA ascii
0.22378698 -0.041725963 0.50903082
0.22475246 -0.041037031 0.5082953
0.22571912 -0.040547356 0.50863838
0.22668582 -0.040057667 0.50898159
0.22765252 -0.039567985 0.50932473
0.22861922 -0.039078303 0.50966787
0.2295859 -0.038588621 0.51001108
0.23053584 -0.037907578 0.50926995
0.23150033 -0.037419014 0.50961232
0.23246479 -0.036930457 0.50995469
0.23342927 -0.0364419 0.51029706
0.2343681 -0.03576643 0.509552
0.23533037 -0.035278983 0.5098936
0.23629262 -0.034791552 0.51023519
0.23725489 -0.034304112 0.51057673
0.23818263 -0.033634283 0.50982785
0.23914269 -0.033147968 0.51016861
0.24010272 -0.032661654 0.51050937
0.24102162 -0.031996325 0.50975728
0.24197942 -0.031511143 0.51009727
0.24289168 -0.030849151 0.50934279
0.24384731 -0.03036508 0.50968206
0.24480289 -0.029881015 0.51002121
0.2457585 -0.029396951 0.51036048
0.24665968 -0.0287406 0.50960201
0.24761307 -0.028257653 0.50994045
0.24856645 -0.027774714 0.51027888
0.24951984 -0.027291767 0.51061732
0.25047323 -0.026808828 0.51095575
0.25136107 -0.026159197 0.51019263
0.25231224 -0.025677375 0.51053029
0.25326341 -0.025195554 0.51086795
0.25421458 -0.02471374 0.51120555
0.25509137 -0.024069749 0.5104385
0.25604033 -0.023589045 0.51077533
0.25698927 -0.023108348 0.51111221
0.25793824 -0.022627652 0.5114491
0.25888717 -0.022146955 0.51178598
0.25983614 -0.021666259 0.51212281
0.26069736 -0.021030113 0.51135021
0.26164412 -0.020550534 0.51168633
0.26259086 -0.02007097 0.51202238
0.26353759 -0.019591391 0.51235843
0.26448435 -0.019111827 0.51269448
0.26543108 -0.018632233 0.51303059
0.26627678 -0.018003978 0.51225257
0.2672213 -0.017525524 0.51258779
0.26816583 -0.017047063 0.51292312
0.26900268 -0.01642327 0.51214182
0.26994503 -0.015945941 0.51247633
0.27088732 -0.01546862 0.51281083
0.27171528 -0.014849328 0.51202643
0.27265537 -0.014373116 0.51236022
0.27359545 -0.013896912 0.51269388
0.27441454 -0.013282113 0.51190627
0.27535248 -0.012807019 0.51223922
0.2762903 -0.012331948 0.51257217
